Year,Month,TMax,TMin,Frost,Rainfall,Sunshine,Status
1911,1,N/A,N/A,N/A,107.7,N/A,Confirmed
1911,2,N/A,N/A,N/A,233.6,N/A,Confirmed
1911,3,N/A,N/A,N/A,73.5,N/A,Confirmed
1911,4,N/A,N/A,N/A,172.4,N/A,Confirmed
1911,5,N/A,N/A,N/A,87.9,N/A,Confirmed
1911,6,N/A,N/A,N/A,87.3,N/A,Confirmed
1911,7,N/A,N/A,N/A,58.7,N/A,Confirmed
1911,8,N/A,N/A,N/A,82.0,N/A,Confirmed
1911,9,N/A,N/A,N/A,72.1,N/A,Confirmed
1911,10,N/A,N/A,N/A,136.3,N/A,Confirmed
1911,11,N/A,N/A,N/A,208.8,N/A,Confirmed
1911,12,N/A,N/A,N/A,228.9,N/A,Confirmed
1912,1,N/A,N/A,N/A,96.6,N/A,Confirmed
1912,2,N/A,N/A,N/A,108.9,N/A,Confirmed
1912,3,N/A,N/A,N/A,188.1,N/A,Confirmed
1912,4,N/A,N/A,N/A,26.0,N/A,Confirmed
1912,5,N/A,N/A,N/A,46.8,N/A,Confirmed
1912,6,N/A,N/A,N/A,157.9,N/A,Confirmed
1912,7,N/A,N/A,N/A,91.9,N/A,Confirmed
1912,8,N/A,N/A,N/A,141.1,N/A,Confirmed
1912,9,N/A,N/A,N/A,62.3,N/A,Confirmed
1912,10,N/A,N/A,N/A,146.3,N/A,Confirmed
1912,11,N/A,N/A,N/A,139.2,N/A,Confirmed
1912,12,N/A,N/A,N/A,293.8,N/A,Confirmed
1913,1,N/A,N/A,N/A,113.9,N/A,Confirmed
1913,2,N/A,N/A,N/A,121.0,N/A,Confirmed
1913,3,N/A,N/A,N/A,193.2,N/A,Confirmed
1913,4,N/A,N/A,N/A,165.6,N/A,Confirmed
1913,5,N/A,N/A,N/A,105.2,N/A,Confirmed
1913,6,N/A,N/A,N/A,75.4,N/A,Confirmed
1913,7,N/A,N/A,N/A,25.3,N/A,Confirmed
1913,8,N/A,N/A,N/A,59.9,N/A,Confirmed
1913,9,N/A,N/A,N/A,63.6,N/A,Confirmed
1913,10,N/A,N/A,N/A,113.5,N/A,Confirmed
1913,11,N/A,N/A,N/A,171.1,N/A,Confirmed
1913,12,N/A,N/A,N/A,141.1,N/A,Confirmed
1914,1,4.4,0.1,N/A,129.4,N/A,Confirmed
1914,2,6.8,1.3,N/A,216.0,N/A,Confirmed
1914,3,6.4,-0.1,N/A,157.4,N/A,Confirmed
1914,4,12.4,1.0,N/A,78.3,N/A,Confirmed
1914,5,12.2,3.6,N/A,72.9,N/A,Confirmed
1914,6,16.7,6.6,N/A,38.3,N/A,Confirmed
1914,7,17.7,8.8,N/A,81.7,N/A,Confirmed
1914,8,17.4,8.4,N/A,90.1,N/A,Confirmed
1914,9,14.9,5.9,N/A,88.3,N/A,Confirmed
1914,10,11.3,4.2,N/A,45.1,N/A,Confirmed
1914,11,7.6,1.9,N/A,163.9,N/A,Confirmed
1914,12,4.7,-0.1,N/A,197.8,N/A,Confirmed
1915,1,4.1,-0.8,N/A,87.8,N/A,Confirmed
1915,2,4.4,-1.0,N/A,218.4,N/A,Confirmed
1915,3,6.7,-1.1,N/A,31.5,N/A,Confirmed
1915,4,9.9,0.8,N/A,89.3,N/A,Confirmed
1915,5,13.3,1.8,N/A,34.3,N/A,Confirmed
1915,6,16.7,5.8,N/A,31.5,N/A,Confirmed
1915,7,16.1,7.1,N/A,120.8,N/A,Confirmed
