Year,Month,TMax,TMin,Frost,Rainfall,Sunshine,Status
1914,1,5.2,0.7,N/A,52.0,N/A,Confirmed
1914,2,9.2,3.5,N/A,28.0,N/A,Confirmed
1914,3,N/A,N/A,N/A,N/A,N/A,Confirmed
1914,4,12.9,5.3,N/A,18.0,N/A,Confirmed
1914,5,13.7,7.2,N/A,38.0,N/A,Confirmed
1914,6,16.2,10.4,N/A,38.0,N/A,Confirmed
1914,7,19.8,13.0,N/A,53.0,N/A,Confirmed
1914,8,20.3,13.7,N/A,17.0,N/A,Confirmed
1914,9,17.7,11.4,N/A,29.0,N/A,Confirmed
1914,10,14.1,9.1,N/A,45.0,N/A,Confirmed
1914,11,9.9,5.0,N/A,80.0,N/A,Confirmed
1914,12,8.2,3.3,N/A,141.0,N/A,Confirmed
1915,1,6.3,2.3,N/A,75.0,N/A,Confirmed
1915,2,7.3,2.3,N/A,64.0,N/A,Confirmed
1915,3,8.3,2.3,N/A,43.0,N/A,Confirmed
1915,4,10.4,4.1,N/A,25.0,N/A,Confirmed
1915,5,12.4,6.9,N/A,50.0,N/A,Confirmed
1915,6,16.2,10.3,N/A,39.0,N/A,Confirmed
1915,7,19.0,12.0,N/A,123.0,N/A,Confirmed
1915,8,18.9,12.3,N/A,29.0,N/A,Confirmed
1915,9,17.7,11.7,N/A,62.0,N/A,Confirmed
1915,10,12.9,8.4,N/A,67.0,N/A,Confirmed
1915,11,7.9,2.6,N/A,69.0,N/A,Confirmed
1915,12,8.2,3.5,N/A,91.0,N/A,Confirmed
1916,1,9.4,4.3,N/A,36.0,N/A,Confirmed
1916,2,6.9,1.3,N/A,92.0,N/A,Confirmed
1916,3,6.5,1.7,N/A,69.0,N/A,Confirmed
1916,4,11.0,4.6,N/A,45.0,N/A,Confirmed
1916,5,14.4,8.5,N/A,38.0,N/A,Confirmed
1916,6,14.8,8.6,N/A,88.0,N/A,Confirmed
1916,7,17.3,11.5,N/A,20.0,N/A,Confirmed
1916,8,19.0,12.7,N/A,75.0,N/A,Confirmed
1916,9,16.2,10.6,N/A,31.0,N/A,Confirmed
1916,10,N/A,N/A,N/A,N/A,N/A,Confirmed
1916,11,N/A,N/A,N/A,N/A,N/A,Confirmed
1916,12,6.3,1.3,N/A,75.0,N/A,Confirmed
1917,1,4.2,0.6,N/A,52.0,N/A,Confirmed
1917,2,3.8,-0.8,N/A,19.0,N/A,Confirmed
1917,3,5.7,-0.2,N/A,51.0,N/A,Confirmed
1917,4,7.8,1.4,N/A,67.0,N/A,Confirmed
1917,5,N/A,N/A,N/A,N/A,N/A,Confirmed
1917,6,N/A,N/A,N/A,N/A,N/A,Confirmed
1917,7,N/A,N/A,N/A,N/A,N/A,Confirmed
1917,8,N/A,N/A,N/A,N/A,N/A,Confirmed
1917,9,N/A,N/A,N/A,N/A,N/A,Confirmed
1917,10,N/A,N/A,N/A,N/A,N/A,Confirmed
